respondent_id,synthetic_flag,age_group,online_shopping_frequency,category,primary_platform,orders_6m_band,monthly_spend_band,monthly_spend_mid_inr,typical_order_value_band,aov_mid_inr,same_platform_frequency,returned_last5,return_rate,return_reason,repeat_purchase_6m,repeat_purchase_flag,repurchase_intent_3m_1_5,preferred_platform_spend_share_band,share_requirements_mid_pct
R055,True,18–24,3–5×/month,Fashion,Myntra,3–4,"<₹1,000",500,"₹1,000–₹2,499",1750,1× every 1–3m,2,0.4,Size / fit,Yes,1,4,50–74%,62
R055,True,18–24,3–5×/month,Beauty,Myntra,8–10,"₹1,000–₹2,499",1750,"<₹1,000",750,1× every 1–3m,1,0.2,Damaged / defective,No,0,5,75–99%,87
R056,True,25–34,1–2×/month,Fashion,Amazon,5–7,"₹5,000–₹9,999",7500,"₹1,000–₹2,499",1750,1× every 1–3m,1,0.2,Colour differed from expectation,Yes,1,2,25–49%,37
R056,True,25–34,1–2×/month,Beauty,Nykaa,8–10,"₹1,000–₹2,499",1750,"₹2,500–₹4,999",3750,1× every 3–6m,2,0.4,Size / fit,Yes,1,5,25–49%,37
R057,True,25–34,3–5×/month,Fashion,AJIO,5–7,"₹2,500–₹4,999",3750,"₹1,000–₹2,499",1750,>1×/month,3,0.6,Size / fit,Yes,1,4,50–74%,62
R057,True,25–34,3–5×/month,Beauty,Nykaa,5–7,"₹1,000–₹2,499",1750,"<₹1,000",750,1× every 1–3m,3,0.6,Colour differed from expectation,Yes,1,4,10–24%,17
R058,True,18–24,3–5×/month,Fashion,Myntra,3–4,"₹1,000–₹2,499",1750,"₹1,000–₹2,499",1750,<1× every 6m,1,0.2,Size / fit,Yes,1,5,<10%,5
R058,True,18–24,3–5×/month,Beauty,Nykaa,3–4,"<₹1,000",500,"<₹1,000",750,>1×/month,0,0.0,No return in last 5 orders,Yes,1,5,50–74%,62
R059,True,18–24,6–10×/month,Fashion,AJIO,3–4,"₹1,000–₹2,499",1750,"₹2,500–₹4,999",3750,1× every 3–6m,2,0.4,Product quality,Yes,1,1,100%,100
R059,True,18–24,6–10×/month,Beauty,Nykaa,>10,"₹2,500–₹4,999",3750,"₹2,500–₹4,999",3750,>1×/month,0,0.0,No return in last 5 orders,Yes,1,3,50–74%,62
R060,True,45+,3–5×/month,Fashion,Amazon,5–7,"₹2,500–₹4,999",3750,"₹2,500–₹4,999",3750,1× every 1–3m,2,0.4,Colour differed from expectation,Yes,1,5,25–49%,37
R060,True,45+,3–5×/month,Beauty,Nykaa,5–7,"₹5,000–₹9,999",7500,"<₹1,000",750,1× every 1–3m,0,0.0,No return in last 5 orders,No,0,5,<10%,5
R061,True,25–34,6–10×/month,Fashion,Meesho,5–7,"₹2,500–₹4,999",3750,"₹2,500–₹4,999",3750,1× every 3–6m,1,0.2,Damaged / defective,No,0,4,10–24%,17
R061,True,25–34,6–10×/month,Beauty,Nykaa,5–7,"₹2,500–₹4,999",3750,"₹2,500–₹4,999",3750,1× every 1–3m,1,0.2,Damaged / defective,Yes,1,5,100%,100
R062,True,35–44,6–10×/month,Fashion,Myntra,3–4,"₹1,000–₹2,499",1750,"₹5,000–₹7,499",6250,1× every 1–3m,2,0.4,Size / fit,No,0,5,25–49%,37
R062,True,35–44,6–10×/month,Beauty,Nykaa,2,"₹1,000–₹2,499",1750,"₹1,000–₹2,499",1750,<1× every 6m,0,0.0,No return in last 5 orders,Yes,1,5,75–99%,87
R063,True,18–24,6–10×/month,Fashion,Nykaa Fashion,2,"₹2,500–₹4,999",3750,"₹10,000+",12500,<1× every 6m,0,0.0,No return in last 5 orders,No,0,5,25–49%,37
R063,True,18–24,6–10×/month,Beauty,Nykaa,8–10,"₹1,000–₹2,499",1750,"₹1,000–₹2,499",1750,>1×/month,1,0.2,Changed my mind,Yes,1,5,50–74%,62
R064,True,35–44,3–5×/month,Fashion,AJIO,1,"₹5,000–₹9,999",7500,"₹2,500–₹4,999",3750,1× every 1–3m,2,0.4,Material/fabric differed,Yes,1,4,25–49%,37
R064,True,35–44,3–5×/month,Beauty,Purplle,3–4,"₹1,000–₹2,499",1750,"₹1,000–₹2,499",1750,<1× every 6m,2,0.4,Product quality,Yes,1,4,<10%,5
R065,True,25–34,1–2×/month,Fashion,Myntra,2,"₹2,500–₹4,999",3750,"₹2,500–₹4,999",3750,>1×/month,0,0.0,No return in last 5 orders,Yes,1,5,25–49%,37
R065,True,25–34,1–2×/month,Beauty,Nykaa,3–4,"<₹1,000",500,"₹2,500–₹4,999",3750,1× every 1–3m,0,0.0,No return in last 5 orders,Yes,1,4,75–99%,87
R066,True,25–34,>10×/month,Fashion,Nykaa Fashion,3–4,"₹2,500–₹4,999",3750,"₹2,500–₹4,999",3750,<1× every 6m,3,0.6,Size / fit,No,0,5,75–99%,87
R066,True,25–34,>10×/month,Beauty,Amazon,5–7,"₹5,000–₹9,999",7500,"₹1,000–₹2,499",1750,1× every 1–3m,1,0.2,Found a better price elsewhere,Yes,1,5,10–24%,17
R067,True,25–34,3–5×/month,Fashion,Flipkart,3–4,"₹5,000–₹9,999",7500,"<₹1,000",750,1× every 1–3m,0,0.0,No return in last 5 orders,No,0,4,75–99%,87
R067,True,25–34,3–5×/month,Beauty,Nykaa,3–4,"₹2,500–₹4,999",3750,"₹1,000–₹2,499",1750,>1×/month,0,0.0,No return in last 5 orders,Yes,1,5,<10%,5
R068,True,18–24,1–2×/month,Fashion,Myntra,>10,"₹10,000–₹19,999",15000,"₹5,000–₹7,499",6250,1× every 1–3m,0,0.0,No return in last 5 orders,Yes,1,4,10–24%,17
R068,True,18–24,1–2×/month,Beauty,Nykaa,8–10,"₹5,000–₹9,999",7500,"₹7,500–₹9,999",8750,>1×/month,2,0.4,Damaged / defective,No,0,3,25–49%,37
R069,True,18–24,1–2×/month,Fashion,AJIO,2,"₹1,000–₹2,499",1750,"<₹1,000",750,1× every 1–3m,1,0.2,Size / fit,Yes,1,4,25–49%,37
R069,True,18–24,1–2×/month,Beauty,Nykaa,1,"₹10,000–₹19,999",15000,"₹1,000–₹2,499",1750,1× every 1–3m,1,0.2,Changed my mind,Yes,1,4,50–74%,62
R070,True,25–34,1–2×/month,Fashion,Amazon,5–7,"₹1,000–₹2,499",1750,"₹1,000–₹2,499",1750,>1×/month,0,0.0,No return in last 5 orders,Yes,1,4,10–24%,17
R070,True,25–34,1–2×/month,Beauty,Nykaa,5–7,"₹1,000–₹2,499",1750,"₹1,000–₹2,499",1750,>1×/month,0,0.0,No return in last 5 orders,Yes,1,5,<10%,5
R071,True,18–24,6–10×/month,Fashion,Flipkart,2,"₹2,500–₹4,999",3750,"₹5,000–₹7,499",6250,1× every 3–6m,2,0.4,Changed my mind,No,0,5,<10%,5
